"","MVIR1.HS12.D0BLD1.SCG1","MVIR1.HS14.D0BLD1.SCG1","MVIR1.HS16.D0BLD1.SCG1","MVIR1.HS25.D0BLD1.SCG1","MVIR1.HS26.D0BLD1.SCG1","MVIR1.HS29.D0BLD1.SCG1","MVIR1.HS31.D0BLD1.SCG1","MVIR1.HS38.D0BLD1.SCG1","MVIR1.HS44.D0BLD1.SCG1","MVIR1.HS45.D0BLD1.SCG1","MVIR1.HS46.D0BLD1.SCG1","MVIR1.HS47.D0BLD1.SCG1","MVIR1.HS49.D0BLD1.SCG1","MVIR1.HS52.D0BLD1.SCG1","MVIR1.HS54.D0BLD1.SCG1","MVIR1.HS55.D0BLD1.SCG1","MVIR1.HS60.D0BLD1.SCG1","MVIR1.HS62.D0BLD1.SCG1","MVIR1.POOL.SCG1","MVIR1.POOL.SCG2","MVIR1.POOL.SCG3","MVIR1.POOL.SCG4","MVIR1.POOL.SCG8","MVIR1.POOL.SCG9","XHLT1.HS14.BLD1.SCG1","XHLT1.HS19.BLD1.SCG1","XHLT1.HS20.BLD1.SCG1","XHLT1.HS23.BLD1.SCG1","XHLT1.HS29.BLD1.SCG1","XHLT1.HS3.BLD1.SCG1","XHLT1.HS30.BLD1.SCG1","XHLT1.HS31.BLD1.SCG1","XHLT1.HS32.BLD1.SCG1","XHLT1.HS33.BLD1.SCG1","XHLT1.HS4.BLD1.SCG1","XHLT1.HS5.BLD1.SCG1","XHLT1.HS6.BLD2.SCG1","XHLT1.HS7.BLD2.SCG1"
"1","R","","",NA,"",NA,NA,"",NA,NA,NA,"R","",NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,"","R","R",NA,"","R"
"2","","","",NA,"",NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,"","R","R",NA,"","R"
"3","","","",NA,"",NA,NA,"",NA,NA,NA,"R","",NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,"","R","",NA,"","R"
"4","R","","",NA,"",NA,NA,"",NA,NA,NA,"R","",NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,"",""
"5","","","",NA,"",NA,NA,"",NA,NA,NA,"R","",NA,NA,NA,NA,NA,NA,"","R",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,"","","R",NA,"",""
"6","","","",NA,"",NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,"","",NA,"R","",NA,NA,NA,NA,NA,NA,NA,NA,"R","","",NA,"",""
"7","R","","",NA,"",NA,NA,"",NA,NA,NA,"R","",NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,"",""
"8","R","","",NA,"",NA,NA,"",NA,NA,NA,"R","",NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,"",""
"9","R","","",NA,"",NA,NA,"",NA,NA,NA,"R","",NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,"R","R"
"10","","","",NA,"",NA,NA,"R",NA,NA,NA,"R","",NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,"","R","",NA,"",""
"11","","","",NA,"",NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,"",""
"12","","","",NA,"",NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,"","",NA,"R","",NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,"",""
"13","R","R","",NA,"",NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,"",""
"14","R","","",NA,"R",NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,"","R",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,"","R","",NA,"","R"
"15","R","","R",NA,"",NA,NA,"",NA,NA,NA,"","R",NA,NA,NA,NA,NA,NA,"R","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,"",""
"16","R","","",NA,"",NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,"",""
"17","R","","",NA,"",NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,"",""
"18","R","","",NA,"",NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,"",""
"19","R","","",NA,"",NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,"",""
"20","R","","",NA,"",NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,"","R",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,"",""
"21","R","","",NA,"",NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,"",""
"22","R","","",NA,"",NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,"",""
"23","R","","",NA,"",NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,"",""
"24","","","",NA,"",NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,"","",NA,"","R",NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,"",""
"25","","","",NA,"",NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,"",""
"26","R","","",NA,"",NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,"",""
"27","R","","",NA,"",NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,"",""
"28","R","","",NA,"",NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,"",""
"29","","","",NA,"",NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,"",""
"30","R","","",NA,"",NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,"",""
"31","R","","",NA,"",NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,"",""
